z_m,strain_verdadero,strain_das,strain_das_ruidoso
398,-8.85812e-13,-8.72917e-13,-8.72917e-13
400,-7.8808e-12,-7.76607e-12,-7.76607e-12
402,-1.47653e-11,-1.45503e-11,-1.45503e-11
404,-2.14428e-11,-2.11306e-11,-2.11306e-11
406,-2.78196e-11,-2.74146e-11,-2.74146e-11
408,-3.38064e-11,-3.33143e-11,-3.33143e-11
410,-3.93192e-11,-3.87468e-11,-3.87468e-11
412,-4.42808e-11,-4.36362e-11,-4.36362e-11
414,-4.86215e-11,-4.79137e-11,-4.79137e-11
416,-5.22805e-11,-5.15195e-11,-5.15195e-11
418,-5.52066e-11,-5.44029e-11,-5.44029e-11
420,-5.73586e-11,-5.65236e-11,-5.65236e-11
422,-5.87064e-11,-5.78518e-11,-5.78518e-11
424,-5.92312e-11,-5.83689e-11,-5.83689e-11
426,-5.89255e-11,-5.80677e-11,-5.80677e-11
428,-5.77936e-11,-5.69523e-11,-5.69523e-11
430,-5.58515e-11,-5.50384e-11,-5.50384e-11
432,-5.31263e-11,-5.23529e-11,-5.23529e-11
434,-4.96563e-11,-4.89334e-11,-4.89334e-11
436,-4.549e-11,-4.48278e-11,-4.48278e-11
438,-4.0686e-11,-4.00937e-11,-4.00937e-11
440,-3.53115e-11,-3.47975e-11,-3.47975e-11
442,-2.9442e-11,-2.90134e-11,-2.90134e-11
444,-2.31597e-11,-2.28225e-11,-2.28225e-11
446,-1.65526e-11,-1.63116e-11,-1.63116e-11
448,-9.7135e-12,-9.5721e-12,-9.5721e-12
450,-2.73821e-12,-2.69834e-12,-2.69834e-12
452,4.27548e-12,4.21324e-12,4.21324e-12
454,1.12292e-11,1.10658e-11,1.10658e-11
456,1.80255e-11,1.77631e-11,1.77631e-11
458,2.45691e-11,2.42114e-11,2.42114e-11
460,3.07682e-11,3.03203e-11,3.03203e-11
462,3.6536e-11,3.60041e-11,3.60041e-11
464,4.17915e-11,4.11831e-11,4.11831e-11
466,4.6461e-11,4.57846e-11,4.57846e-11
468,5.04792e-11,4.97443e-11,4.97443e-11
470,5.37896e-11,5.30065e-11,5.30065e-11
472,5.63458e-11,5.55256e-11,5.55256e-11
474,5.81121e-11,5.72662e-11,5.72662e-11
476,5.90637e-11,5.82038e-11,5.82038e-11
478,5.91871e-11,5.83255e-11,5.83255e-11
480,5.84807e-11,5.76294e-11,5.76294e-11
482,5.69544e-11,5.61253e-11,5.61253e-11
484,5.46296e-11,5.38343e-11,5.38343e-11
486,5.15388e-11,5.07885e-11,5.07885e-11
488,4.77254e-11,4.70307e-11,4.70307e-11
490,4.3243e-11,4.26135e-11,4.26135e-11
492,3.81542e-11,3.75988e-11,3.75988e-11
494,3.25305e-11,3.20569e-11,3.20569e-11
496,2.64507e-11,2.60657e-11,2.60657e-11
498,2.00001e-11,1.97089e-11,1.97089e-11
500,1.32691e-11,1.30759e-11,1.30759e-11
502,6.35197e-12,6.2595e-12,6.2595e-12
504,-6.54165e-13,-6.44642e-13,-6.44642e-13
506,-7.65113e-12,-7.53975e-12,-7.53975e-12
508,-1.45408e-11,-1.43291e-11,-1.43291e-11
510,-2.12266e-11,-2.09176e-11,-2.09176e-11
512,-2.76149e-11,-2.72129e-11,-2.72129e-11
514,-3.36159e-11,-3.31266e-11,-3.31266e-11
516,-3.91457e-11,-3.85758e-11,-3.85758e-11
518,-4.41266e-11,-4.34842e-11,-4.34842e-11
520,-4.84888e-11,-4.77829e-11,-4.77829e-11
522,-5.21712e-11,-5.14117e-11,-5.14117e-11
524,-5.51222e-11,-5.43197e-11,-5.43197e-11
526,-5.73003e-11,-5.64661e-11,-5.64661e-11
528,-5.8675e-11,-5.78208e-11,-5.78208e-11
530,-5.92271e-11,-5.83649e-11,-5.83649e-11
532,-5.89488e-11,-5.80907e-11,-5.80907e-11
534,-5.78441e-11,-5.7002e-11,-5.7002e-11
536,-5.59283e-11,-5.51141e-11,-5.51141e-11
538,-5.32284e-11,-5.24535e-11,-5.24535e-11
540,-4.97822e-11,-4.90575e-11,-4.90575e-11
542,-4.56381e-11,-4.49737e-11,-4.49737e-11
544,-4.08541e-11,-4.02593e-11,-4.02593e-11
546,-3.54973e-11,-3.49805e-11,-3.49805e-11
548,-2.96428e-11,-2.92113e-11,-2.92113e-11
550,-2.33727e-11,-2.30325e-11,-2.30325e-11
552,-1.67749e-11,-1.65307e-11,-1.65307e-11
554,-9.94196e-12,-9.79723e-12,-9.79723e-12
556,-2.9696e-12,-2.92637e-12,-2.92637e-12
558,4.04439e-12,3.98551e-12,3.98551e-12
560,1.10017e-11,1.08415e-11,1.08415e-11
562,1.78047e-11,1.75455e-11,1.75455e-11
564,2.43581e-11,2.40035e-11,2.40035e-11
566,3.057e-11,3.0125e-11,3.0125e-11
568,3.63533e-11,3.58241e-11,3.58241e-11
570,4.16269e-11,4.1021e-11,4.1021e-11
572,4.63169e-11,4.56427e-11,4.56427e-11
574,5.03575e-11,4.96245e-11,4.96245e-11
576,5.36921e-11,5.29105e-11,5.29105e-11
578,5.62739e-11,5.54547e-11,5.54547e-11
580,5.80667e-11,5.72214e-11,5.72214e-11
582,5.90454e-11,5.81859e-11,5.81859e-11
584,5.91963e-11,5.83345e-11,5.83345e-11
586,5.85172e-11,5.76653e-11,5.76653e-11
588,5.70177e-11,5.61876e-11,5.61876e-11
590,5.47187e-11,5.39222e-11,5.39222e-11
592,5.16526e-11,5.09007e-11,5.09007e-11
594,4.78623e-11,4.71656e-11,4.71656e-11
596,4.3401e-11,4.27692e-11,4.27692e-11
598,3.83311e-11,3.77731e-11,3.77731e-11
600,3.27239e-11,3.22475e-11,3.22475e-11
602,2.66578e-11,2.62697e-11,2.62697e-11
604,2.0218e-11,1.99237e-11,1.99237e-11
606,1.34947e-11,1.32983e-11,1.32983e-11
608,6.58225e-12,6.48643e-12,6.48643e-12
610,-4.22508e-13,-4.16357e-13,-4.16357e-13
612,-7.42135e-12,-7.31331e-12,-7.31331e-12
614,-1.43161e-11,-1.41077e-11,-1.41077e-11
616,-2.10102e-11,-2.07043e-11,-2.07043e-11
618,-2.74097e-11,-2.70107e-11,-2.70107e-11
620,-3.34249e-11,-3.29383e-11,-3.29383e-11
622,-3.89715e-11,-3.84042e-11,-3.84042e-11
624,-4.39717e-11,-4.33315e-11,-4.33315e-11
626,-4.83554e-11,-4.76514e-11,-4.76514e-11
628,-5.20611e-11,-5.13032e-11,-5.13032e-11
630,-5.50369e-11,-5.42357e-11,-5.42357e-11
632,-5.72411e-11,-5.64078e-11,-5.64078e-11
634,-5.86427e-11,-5.7789e-11,-5.7789e-11
636,-5.92221e-11,-5.836e-11,-5.836e-11
638,-5.89713e-11,-5.81128e-11,-5.81128e-11
640,-5.78936e-11,-5.70508e-11,-5.70508e-11
642,-5.60042e-11,-5.51889e-11,-5.51889e-11
644,-5.33297e-11,-5.25533e-11,-5.25533e-11
646,-4.99074e-11,-4.91809e-11,-4.91809e-11
648,-4.57854e-11,-4.51189e-11,-4.51189e-11
650,-4.10215e-11,-4.04243e-11,-4.04243e-11
652,-3.56825e-11,-3.5163e-11,-3.5163e-11
654,-2.98431e-11,-2.94087e-11,-2.94087e-11
656,-2.35854e-11,-2.3242e-11,-2.3242e-11
658,-1.6997e-11,-1.67495e-11,-1.67495e-11
660,-1.01703e-11,-1.00222e-11,-1.00222e-11
662,-3.20096e-12,-3.15436e-12,-3.15436e-12
664,3.81323e-12,3.75772e-12,3.75772e-12
666,1.0774e-11,1.06171e-11,1.06171e-11
668,1.75836e-11,1.73277e-11,1.73277e-11
670,2.41468e-11,2.37952e-11,2.37952e-11
672,3.03714e-11,2.99292e-11,2.99292e-11
674,3.61701e-11,3.56436e-11,3.56436e-11
676,4.14618e-11,4.08582e-11,4.08582e-11
678,4.61721e-11,4.55e-11,4.55e-11
680,5.02351e-11,4.95038e-11,4.95038e-11
682,5.35938e-11,5.28136e-11,5.28136e-11
684,5.62011e-11,5.5383e-11,5.5383e-11
686,5.80204e-11,5.71758e-11,5.71758e-11
688,5.90263e-11,5.8167e-11,5.8167e-11
690,5.92046e-11,5.83427e-11,5.83427e-11
692,5.85528e-11,5.77004e-11,5.77004e-11
694,5.70801e-11,5.62491e-11,5.62491e-11
696,5.48071e-11,5.40092e-11,5.40092e-11
698,5.17656e-11,5.10121e-11,5.10121e-11
700,4.79985e-11,4.72997e-11,4.72997e-11
702,4.35583e-11,4.29242e-11,4.29242e-11
704,3.85075e-11,3.79469e-11,3.79469e-11
706,3.29167e-11,3.24375e-11,3.24375e-11
708,2.68645e-11,2.64734e-11,2.64734e-11
710,2.04356e-11,2.01381e-11,2.01381e-11
712,1.37202e-11,1.35205e-11,1.35205e-11
714,6.81244e-12,6.71326e-12,6.71326e-12
716,-1.90844e-13,-1.88066e-13,-1.88066e-13
718,-7.19145e-12,-7.08676e-12,-7.08676e-12
720,-1.40912e-11,-1.38861e-11,-1.38861e-11
722,-2.07934e-11,-2.04907e-11,-2.04907e-11
724,-2.72041e-11,-2.68081e-11,-2.68081e-11
726,-3.32334e-11,-3.27496e-11,-3.27496e-11
728,-3.87967e-11,-3.82319e-11,-3.82319e-11
730,-4.38161e-11,-4.31782e-11,-4.31782e-11
732,-4.82212e-11,-4.75192e-11,-4.75192e-11
734,-5.19501e-11,-5.11939e-11,-5.11939e-11
736,-5.49508e-11,-5.41508e-11,-5.41508e-11
738,-5.7181e-11,-5.63486e-11,-5.63486e-11
740,-5.86095e-11,-5.77563e-11,-5.77563e-11
742,-5.92162e-11,-5.83542e-11,-5.83542e-11
744,-5.89928e-11,-5.8134e-11,-5.8134e-11
746,-5.79422e-11,-5.70987e-11,-5.70987e-11
748,-5.60793e-11,-5.52629e-11,-5.52629e-11
750,-5.34301e-11,-5.26523e-11,-5.26523e-11
752,-5.00318e-11,-4.93035e-11,-4.93035e-11
754,-4.59321e-11,-4.52634e-11,-4.52634e-11
756,-4.11883e-11,-4.05887e-11,-4.05887e-11
758,-3.58671e-11,-3.5345e-11,-3.5345e-11
760,-3.0043e-11,-2.96057e-11,-2.96057e-11
762,-2.37977e-11,-2.34513e-11,-2.34513e-11
764,-1.72188e-11,-1.69681e-11,-1.69681e-11
766,-1.03984e-11,-1.0247e-11,-1.0247e-11
768,-3.43226e-12,-3.38229e-12,-3.38229e-12
770,3.58202e-12,3.52987e-12,3.52987e-12
772,1.05461e-11,1.03925e-11,1.03925e-11
774,1.73623e-11,1.71095e-11,1.71095e-11
776,2.3935e-11,2.35866e-11,2.35866e-11
778,3.01722e-11,2.9733e-11,2.9733e-11
780,3.59864e-11,3.54625e-11,3.54625e-11
782,4.1296e-11,4.06948e-11,4.06948e-11
784,4.60267e-11,4.53566e-11,4.53566e-11
786,5.0112e-11,4.93825e-11,4.93825e-11
788,5.34947e-11,5.2716e-11,5.2716e-11
790,5.61275e-11,5.53104e-11,5.53104e-11
792,5.79733e-11,5.71293e-11,5.71293e-11
794,5.90062e-11,5.81473e-11,5.81473e-11
796,5.92119e-11,5.835e-11,5.835e-11
798,5.85875e-11,5.77346e-11,5.77346e-11
800,5.71416e-11,5.63097e-11,5.63097e-11
802,5.48946e-11,5.40954e-11,5.40954e-11
804,5.18779e-11,5.11227e-11,5.11227e-11
806,4.81339e-11,4.74332e-11,4.74332e-11
808,4.3715e-11,4.30786e-11,4.30786e-11
810,3.86832e-11,3.81201e-11,3.81201e-11
812,3.31091e-11,3.26271e-11,3.26271e-11
814,2.70708e-11,2.66767e-11,2.66767e-11
816,2.06529e-11,2.03522e-11,2.03522e-11
818,1.39455e-11,1.37425e-11,1.37425e-11
820,7.04251e-12,6.93999e-12,6.93999e-12
822,4.08229e-14,4.02286e-14,4.02286e-14
824,-6.96144e-12,-6.8601e-12,-6.8601e-12
826,-1.38661e-11,-1.36642e-11,-1.36642e-11
828,-2.05764e-11,-2.02768e-11,-2.02768e-11
830,-2.69981e-11,-2.66051e-11,-2.66051e-11
832,-3.30414e-11,-3.25604e-11,-3.25604e-11
834,-3.86213e-11,-3.80591e-11,-3.80591e-11
836,-4.36599e-11,-4.30243e-11,-4.30243e-11
838,-4.80862e-11,-4.73862e-11,-4.73862e-11
840,-5.18384e-11,-5.10838e-11,-5.10838e-11
842,-5.48638e-11,-5.40651e-11,-5.40651e-11
844,-5.712e-11,-5.62885e-11,-5.62885e-11
846,-5.85754e-11,-5.77226e-11,-5.77226e-11
848,-5.92094e-11,-5.83475e-11,-5.83475e-11
850,-5.90134e-11,-5.81543e-11,-5.81543e-11
852,-5.799e-11,-5.71458e-11,-5.71458e-11
854,-5.61535e-11,-5.5336e-11,-5.5336e-11
856,-5.35297e-11,-5.27505e-11,-5.27505e-11
858,-5.01555e-11,-4.94253e-11,-4.94253e-11
860,-4.6078e-11,-4.54072e-11,-4.54072e-11
862,-4.13545e-11,-4.07525e-11,-4.07525e-11
864,-3.60512e-11,-3.55264e-11,-3.55264e-11
866,-3.02425e-11,-2.98022e-11,-2.98022e-11
868,-2.40097e-11,-2.36602e-11,-2.36602e-11
870,-1.74403e-11,-1.71864e-11,-1.71864e-11
872,-1.06264e-11,-1.04717e-11,-1.04717e-11
874,-3.66351e-12,-3.61018e-12,-3.61018e-12
876,3.35075e-12,3.30197e-12,3.30197e-12
878,1.0318e-11,1.01678e-11,1.01678e-11
880,1.71406e-11,1.68911e-11,1.68911e-11
882,2.37229e-11,2.33776e-11,2.33776e-11
884,2.99726e-11,2.95363e-11,2.95363e-11
886,3.58021e-11,3.52809e-11,3.52809e-11
888,4.11296e-11,4.05309e-11,4.05309e-11
890,4.58805e-11,4.52126e-11,4.52126e-11
892,4.99881e-11,4.92604e-11,4.92604e-11
894,5.33948e-11,5.26175e-11,5.26175e-11
896,5.60529e-11,5.52369e-11,5.52369e-11
898,5.79252e-11,5.70819e-11,5.70819e-11
900,5.89853e-11,5.81266e-11,5.81266e-11
902,5.92184e-11,5.83563e-11,5.83563e-11
904,5.86213e-11,5.77679e-11,5.77679e-11
906,5.72022e-11,5.63695e-11,5.63695e-11
908,5.49812e-11,5.41808e-11,5.41808e-11
910,5.19893e-11,5.12325e-11,5.12325e-11
912,4.82685e-11,4.75659e-11,4.75659e-11
914,4.3871e-11,4.32323e-11,4.32323e-11
916,3.88584e-11,3.82927e-11,3.82927e-11
918,3.33009e-11,3.28162e-11,3.28162e-11
920,2.72766e-11,2.68795e-11,2.68795e-11
922,2.08699e-11,2.05661e-11,2.05661e-11
924,1.41705e-11,1.39642e-11,1.39642e-11
926,7.27248e-12,7.16661e-12,7.16661e-12
928,2.72489e-13,2.68522e-13,2.68522e-13
930,-6.73132e-12,-6.63333e-12,-6.63333e-12
932,-1.36408e-11,-1.34422e-11,-1.34422e-11
934,-2.0359e-11,-2.00626e-11,-2.00626e-11
936,-2.67917e-11,-2.64017e-11,-2.64017e-11
938,-3.28488e-11,-3.23706e-11,-3.23706e-11
940,-3.84454e-11,-3.78857e-11,-3.78857e-11
942,-4.35029e-11,-4.28696e-11,-4.28696e-11
944,-4.79506e-11,-4.72525e-11,-4.72525e-11
946,-5.17259e-11,-5.09729e-11,-5.09729e-11
948,-5.4776e-11,-5.39786e-11,-5.39786e-11
950,-5.70582e-11,-5.62275e-11,-5.62275e-11
952,-5.85403e-11,-5.76881e-11,-5.76881e-11
954,-5.92018e-11,-5.83399e-11,-5.83399e-11
956,-5.90331e-11,-5.81737e-11,-5.81737e-11
958,-5.80368e-11,-5.7192e-11,-5.7192e-11
960,-5.62269e-11,-5.54083e-11,-5.54083e-11
962,-5.36286e-11,-5.28479e-11,-5.28479e-11
964,-5.02784e-11,-4.95464e-11,-4.95464e-11
966,-4.62233e-11,-4.55504e-11,-4.55504e-11
968,-4.15201e-11,-4.09156e-11,-4.09156e-11
970,-3.62348e-11,-3.57073e-11,-3.57073e-11
972,-3.04414e-11,-2.99983e-11,-2.99983e-11
974,-2.42213e-11,-2.38687e-11,-2.38687e-11
976,-1.76616e-11,-1.74045e-11,-1.74045e-11
978,-1.08542e-11,-1.06962e-11,-1.06962e-11
980,-3.8947e-12,-3.83801e-12,-3.83801e-12
982,3.11943e-12,3.07401e-12,3.07401e-12
984,1.00898e-11,9.94294e-12,9.94294e-12
986,1.69188e-11,1.66725e-11,1.66725e-11
988,2.35105e-11,2.31682e-11,2.31682e-11
990,2.97726e-11,2.93392e-11,2.93392e-11
992,3.56173e-11,3.50988e-11,3.50988e-11
994,4.09626e-11,4.03662e-11,4.03662e-11
996,4.57336e-11,4.50678e-11,4.50678e-11
998,4.98634e-11,4.91375e-11,4.91375e-11
1000,5.32941e-11,5.25182e-11,5.25182e-11
1002,5.59776e-11,5.51627e-11,5.51627e-11
1004,5.78762e-11,5.70337e-11,5.70337e-11
1006,5.89635e-11,5.81051e-11,5.81051e-11
1008,5.9224e-11,5.83618e-11,5.83618e-11
